No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,11581.0,10290.0,12454.0,11728.37,10090.0,-13.97
2,Sumatera Utara,135334.0,153632.0,207757.0,211105.36,210586.0,-0.25
3,Sumatera Barat,65756.0,67159.0,84565.0,79630.77,83918.0,5.38
4,Riau,139.0,306.0,217.0,216.35,327.0,51.14
5,Jambi,1111.0,1666.0,1892.0,781.46,1514.0,93.74
6,Sumatera Selatan,35074.0,51691.0,60187.0,46247.92,53171.0,14.97
7,Bengkulu,4146.0,5983.0,10417.0,7900.85,9861.0,24.81
8,Lampung,156655.0,172108.0,223860.0,166215.32,170017.0,2.29
9,Kepulauan Bangka Belitung,29.0,97.0,63.0,23.25,0.0,-100.0
10,Kepulauan Riau,3.0,3.0,3.0,2.07,2.0,-3.38
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,59431.0,68214.0,95690.0,76901.39,77993.0,1.42
13,Jawa Tengah,377065.0,340315.0,404493.0,371046.77,412338.0,11.13
14,Daerah Istimewa Yogyakarta,31381.0,38391.0,42975.0,40056.38,37547.0,-6.26
15,Jawa Timur,722182.0,687503.0,817449.0,759060.89,739157.0,-2.62
16,Banten,2946.0,1376.0,1251.0,1920.27,2112.0,9.98
17,Bali,7928.0,10246.0,10317.0,9277.78,7670.0,-17.33
18,Nusa Tenggara Barat,145563.0,156986.0,196065.0,179030.0,173760.0,-2.94
19,Nusa Tenggara Timur,107095.0,111362.0,113625.0,101512.09,108816.0,7.2
20,Kalimantan Barat,4722.0,8916.0,16371.0,15099.14,19450.0,28.82
21,Kalimantan Tengah,5816.0,6592.0,7459.0,5935.59,8556.0,44.15
22,Kalimantan Selatan,28797.0,23340.0,25343.0,18382.82,18766.0,2.08
23,Kalimantan Timur,1989.0,2526.0,3624.0,1867.63,919.0,-50.79
24,Kalimantan Utara,293.0,75.0,163.0,170.45,210.0,23.2
25,Sulawesi Utara,42344.0,39056.0,34919.0,25262.2,30190.0,19.51
26,Sulawesi Tengah,14648.0,14152.0,22350.0,18002.68,19061.0,5.88
27,Sulawesi Selatan,213792.0,185725.0,196219.0,181800.85,191012.0,5.07
28,Sulawesi Tenggara,25124.0,19792.0,19675.0,18987.59,20135.0,6.04
29,Gorontalo,125415.0,138958.0,140548.0,114355.96,128231.0,12.13
30,Sulawesi Barat,2297.0,1575.0,5671.0,5617.09,6019.0,7.16
31,Maluku,4325.0,3813.0,2698.0,2357.12,2239.0,-5.01
32,Maluku Utara,928.0,2042.0,1694.0,1612.53,1317.0,-18.33
33,Papua Barat,1341.0,1100.0,1351.0,735.0,749.0,1.9
34,Papua Barat Daya,0.0,0.0,0.0,275.0,228.0,-17.09
35,Papua,2618.0,3068.0,3003.0,798.0,990.0,24.06
36,Papua Selatan,0.0,0.0,0.0,15.0,409.0,2626.67
37,Papua Tengah,0.0,0.0,0.0,2093.0,1244.0,-40.56
38,Papua Pegunungan,0.0,0.0,0.0,66.0,48.0,-27.27
INDONESIA,INDONESIA,2337866.0,2328060.0,2764366.0,2476091.0,2548654.0,2.93
