No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,2060.5,2040.9,1285.1,1314.0,1000.0,-23.9
2,Sumatera Utara,4207.6,3899.2,4111.1,5842.0,3901.0,-33.22
3,Sumatera Barat,2775.2,2768.9,2299.3,2305.0,2205.0,-4.34
4,Riau,556.5,583.7,494.1,403.0,351.0,-12.9
5,Jambi,929.8,1006.9,1622.0,908.0,724.0,-20.26
6,Sumatera Selatan,0.0,0.0,0.0,983.0,894.0,-9.05
7,Bengkulu,1020.2,1124.3,1105.4,1222.0,1022.0,-16.37
8,Lampung,2783.9,2439.6,1689.1,1319.0,948.0,-28.13
9,Kepulauan Bangka Belitung,182.2,220.7,209.5,213.0,168.0,-21.13
10,Kepulauan Riau,61.1,50.8,34.8,70.0,52.0,-25.71
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,26440.1,24222.5,24997.9,19426.0,16674.0,-14.17
13,Jawa Tengah,59373.8,48172.9,43401.4,40600.0,37254.0,-8.24
14,Daerah Istimewa Yogyakarta,58995.8,63325.1,56183.1,61138.0,47064.0,-23.02
15,Jawa Timur,98658.3,92436.5,89050.3,85210.0,71678.0,-15.88
16,Banten,3756.6,3349.8,2973.6,2087.0,1961.0,-6.04
17,Bali,4677.4,4483.3,4328.9,3993.0,2877.0,-27.95
18,Nusa Tenggara Barat,19350.7,22623.4,15005.4,14896.0,13388.0,-10.12
19,Nusa Tenggara Timur,10450.1,12437.8,11611.2,7649.0,6228.0,-18.58
20,Kalimantan Barat,730.4,610.6,414.9,370.0,690.0,86.49
21,Kalimantan Tengah,265.4,250.6,17.7,167.0,134.0,-19.76
22,Kalimantan Selatan,3006.1,2557.9,1589.6,1648.0,2012.0,22.09
23,Kalimantan Timur,719.8,668.3,440.7,326.0,445.0,36.5
24,Kalimantan Utara,97.1,94.9,70.5,59.0,48.0,-18.64
25,Sulawesi Utara,1680.5,1829.8,1543.3,1067.0,1266.0,18.65
26,Sulawesi Tengah,2114.5,2306.8,1549.2,1475.0,1150.0,-22.03
27,Sulawesi Selatan,13251.0,11307.3,9821.4,8968.0,9986.0,11.35
28,Sulawesi Tenggara,4139.9,3996.2,2694.3,2246.0,2844.0,26.63
29,Gorontalo,147.0,143.0,120.5,183.0,96.0,-47.54
30,Sulawesi Barat,0.0,0.0,0.0,280.0,293.0,4.64
31,Maluku,0.0,0.0,0.0,604.0,1122.0,85.76
32,Maluku Utara,843.5,1088.3,1343.6,227.0,1012.0,345.81
33,Papua Barat,0.0,0.0,0.0,124.0,9.0,-92.74
34,Papua Barat Daya,0.0,0.0,0.0,0.0,86.0,8600.0
35,Papua,1223.7,471.4,1043.3,0.0,211.0,21100.0
36,Papua Selatan,0.0,0.0,0.0,0.0,332.0,33200.0
37,Papua Tengah,0.0,0.0,0.0,0.0,180.0,18000.0
38,Papua Pegunungan,0.0,0.0,0.0,0.0,0.0,
INDONESIA,INDONESIA,324498.7,310511.4,281051.2,0.0,230302.0,-13.85
