No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,507.5,524.0,951.0,7020.0,4694.0,-33.13
2,Sumatera Utara,2559.2,853.9,5194.7,10099.0,6092.0,-39.68
3,Sumatera Barat,30.1,4.5,12.0,15.0,0.0,-100.0
4,Riau,1823.1,622.1,622.1,448.0,138.0,-69.2
5,Jambi,5252.7,3282.6,2781.2,3190.0,399.0,-87.49
6,Sumatera Selatan,0.0,0.0,0.0,142.0,585.0,311.97
7,Bengkulu,10.0,4.0,2.0,639.0,537.0,-15.96
8,Lampung,1569.8,1317.0,1296.8,4868.0,2751.0,-43.49
9,Kepulauan Bangka Belitung,0.0,4.4,3.0,0.0,0.0,
10,Kepulauan Riau,0.0,0.2,0.2,3.0,0.0,-100.0
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,53273.4,18290.9,25292.5,27611.0,8397.0,-69.59
13,Jawa Tengah,22944.3,28430.7,32685.5,45444.0,33303.0,-26.72
14,Daerah Istimewa Yogyakarta,5888.5,6188.9,5373.0,7851.0,2675.0,-65.93
15,Jawa Timur,40534.9,43458.3,39863.9,59804.0,39068.0,-34.67
16,Banten,577.5,358.9,1258.8,5773.0,846.0,-85.35
17,Bali,1243.5,1671.9,2076.2,2905.0,940.0,-67.64
18,Nusa Tenggara Barat,22256.2,12389.7,501.3,18108.0,8828.0,-51.25
19,Nusa Tenggara Timur,1647.9,1397.3,949.5,1505.0,7929.0,426.84
20,Kalimantan Barat,71.4,95.0,63.9,65.0,20.0,-69.23
21,Kalimantan Tengah,80.98,19.7,534.8,116.0,29.0,-75.0
22,Kalimantan Selatan,1762.7,486.9,3993.8,2396.0,80.0,-96.66
23,Kalimantan Timur,62.3,69.0,40.5,19.0,11.0,-42.11
24,Kalimantan Utara,1.0,3.0,0.0,132.0,0.0,-100.0
25,Sulawesi Utara,12907.0,1317.0,1296.8,5006.0,5569.0,11.25
26,Sulawesi Tengah,2706.5,4061.1,8171.5,8952.0,5315.0,-40.63
27,Sulawesi Selatan,10039.6,7286.4,3376.8,2652.0,2438.0,-8.07
28,Sulawesi Tenggara,433.9,335.3,5409.9,2269.0,434.0,-80.87
29,Gorontalo,691.0,335.0,1027.0,1505.0,3346.0,122.33
30,Sulawesi Barat,0.0,0.0,0.0,41.0,672.0,1539.02
31,Maluku,0.0,0.0,0.0,96.0,122.0,27.08
32,Maluku Utara,41.9,14.0,68.5,5.0,38.0,660.0
33,Papua Barat,0.0,0.0,0.0,8.0,7.0,-12.5
34,Papua Barat Daya,0.0,0.0,0.0,0.0,16.0,1600.0
35,Papua,545.5,49.7,94.5,50.0,2.0,-96.0
36,Papua Selatan,0.0,0.0,0.0,0.0,3.0,300.0
37,Papua Tengah,0.0,0.0,0.0,0.0,3.0,300.0
38,Papua Pegunungan,0.0,0.0,0.0,0.0,0.0,
INDONESIA,INDONESIA,189462.38,132871.4,142941.7,218736.0,135284.0,-38.15
