No,Provinsi,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,297058.38,271750.16,254287.38,301196.35,18.45
2,Sumatera Utara,385405.0,411462.1,406109.49,419463.48,3.29
3,Sumatera Barat,272391.95,271883.11,300564.77,295278.98,-1.76
4,Riau,53062.35,51054.04,51914.14,56421.96,8.68
5,Jambi,64412.26,60539.59,61236.64,61625.68,0.64
6,Sumatera Selatan,496241.65,513378.2,504143.03,521092.21,3.36
7,Bengkulu,55704.69,57151.84,57877.18,55775.09,-3.63
8,Lampung,489573.23,518256.06,530108.09,531715.12,0.3
9,Kepulauan Bangka Belitung,18278.27,15107.8,15284.56,18202.56,19.09
10,Kepulauan Riau,270.16,179.48,115.27,113.33,-1.68
11,Daerah Khusus Ibukota Jakarta,559.97,477.25,542.93,498.31,-8.22
12,Jawa Barat,1604109.0,1662403.0,1583656.0,1475362.09,-6.84
13,Jawa Tengah,1696712.36,1688669.65,1642761.23,1554777.14,-5.36
14,Daerah Istimewa Yogyakarta,107506.16,110927.24,105693.66,96976.13,-8.25
15,Jawa Timur,1747481.2,1693210.7,1698083.31,1616985.05,-4.78
16,Banten,318248.46,337240.74,311200.0,299090.79,-3.89
17,Bali,105201.31,112320.62,108514.06,103803.93,-4.34
18,Nusa Tenggara Barat,276211.88,270092.88,287512.14,281717.84,-2.02
19,Nusa Tenggara Timur,174900.07,183091.99,184698.89,168727.24,-8.65
20,Kalimantan Barat,223166.0,241479.0,224069.0,247207.72,10.33
21,Kalimantan Tengah,125870.05,108226.75,101580.3,111016.13,9.29
22,Kalimantan Selatan,254263.59,214908.91,214283.82,246112.42,14.85
23,Kalimantan Timur,66269.46,64970.01,57082.0,63041.76,10.44
24,Kalimantan Utara,8880.83,8604.19,6500.0,8282.06,27.42
25,Sulawesi Utara,59182.0,58196.0,54562.95,59121.96,8.36
26,Sulawesi Tengah,182186.62,168993.18,177699.03,172606.22,-2.87
27,Sulawesi Selatan,985158.23,1038084.29,967790.21,951308.6,-1.7
28,Sulawesi Tenggara,127517.29,118259.0,113930.26,129999.61,14.1
29,Gorontalo,48713.5,46823.47,49610.47,46952.15,-5.36
30,Sulawesi Barat,59763.18,69323.95,58606.67,63181.59,7.81
31,Maluku,28319.75,23987.82,22636.68,23947.35,5.79
32,Maluku Utara,7782.0,6416.0,7709.0,9366.71,21.5
33,Papua Barat,6414.94,5461.0,5006.27,5121.13,2.29
34,Papua Barat Daya,0.0,0.0,580.0,363.87,-37.26
35,Papua,64984.9,49741.91,840.18,1068.57,27.18
36,Papua Selatan,0.0,0.0,44808.0,47168.57,5.27
37,Papua Tengah,0.0,0.0,2094.0,1436.12,-31.42
38,Papua Pegunungan,0.0,0.0,14.0,9.66,-31.0
INDONESIA,INDONESIA,10411801.0,10452672.0,10213705.0,10046135.47,-1.64
