No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,63951.0,57836.0,72242.0,66364.0,52249.0,-21.27
2,Sumatera Utara,783127.0,956939.0,1307477.0,1343291.0,1373900.0,2.28
3,Sumatera Barat,425025.0,437814.0,569450.0,495223.0,518316.0,4.66
4,Riau,473.0,990.0,753.0,689.0,1139.0,65.31
5,Jambi,7604.0,9719.0,10477.0,4725.0,10531.0,122.88
6,Sumatera Selatan,211736.0,316506.0,460321.0,284643.0,338999.0,19.1
7,Bengkulu,23416.0,36935.0,71756.0,50421.0,62877.0,24.7
8,Lampung,971957.0,1129112.0,1443096.0,1103640.0,1107739.0,0.37
9,Kepulauan Bangka Belitung,127.0,349.0,258.0,111.0,0.0,-100.0
10,Kepulauan Riau,15.2,12.8,12.6,10.0,12.0,20.0
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,418402.0,491528.0,727068.0,577185.0,564291.0,-2.23
13,Jawa Tengah,2279146.0,2128959.0,2424371.0,2174484.0,2426509.0,11.59
14,Daerah Istimewa Yogyakarta,169431.0,197155.0,218046.0,217546.0,189378.0,-12.95
15,Jawa Timur,4134908.0,3991492.0,4952603.0,4795781.0,4595792.0,-4.17
16,Banten,20350.0,9394.0,9603.0,14367.0,12677.0,-11.76
17,Bali,34995.0,50118.0,53206.0,46902.0,39055.0,-16.73
18,Nusa Tenggara Barat,860495.0,1019225.0,1421922.0,1281035.0,1209784.0,-5.56
19,Nusa Tenggara Timur,255453.0,285345.0,293719.0,261855.0,293052.0,11.91
20,Kalimantan Barat,20284.0,44252.0,71717.0,66248.0,90419.0,36.49
21,Kalimantan Tengah,30998.0,35440.0,35934.0,25483.0,44638.0,75.17
22,Kalimantan Selatan,152797.0,135326.0,152255.0,112150.0,109438.0,-2.42
23,Kalimantan Timur,10585.0,14555.0,17045.0,11228.0,3955.0,-64.78
24,Kalimantan Utara,1169.0,385.0,860.0,856.0,1058.0,23.6
25,Sulawesi Utara,174418.0,166580.0,119008.0,83046.0,112772.0,35.79
26,Sulawesi Tengah,65596.0,63515.0,96200.0,72982.0,84798.0,16.19
27,Sulawesi Selatan,1086933.0,1033341.0,1152063.0,1025516.0,1131504.0,10.34
28,Sulawesi Tenggara,98972.0,78350.0,78163.0,69512.0,79444.0,14.29
29,Gorontalo,580370.0,669890.0,692439.0,527923.0,625972.0,18.57
30,Sulawesi Barat,11240.0,7967.0,30187.0,29098.0,30296.0,4.12
31,Maluku,14935.0,14692.0,15687.0,7663.0,7583.0,-1.04
32,Maluku Utara,3816.0,10329.0,7712.0,6871.0,4530.0,-34.07
33,Papua Barat,5099.0,4753.0,6481.0,3311.0,3720.0,12.35
34,Papua Barat Daya,0.0,0.0,0.0,1412.0,1189.0,-15.79
35,Papua,11120.0,16120.0,15140.0,3429.0,3913.0,14.11
36,Papua Selatan,0.0,0.0,0.0,69.0,2098.0,2940.58
37,Papua Tengah,0.0,0.0,0.0,9082.0,5036.0,-44.55
38,Papua Pegunungan,0.0,0.0,0.0,279.0,247.0,-11.47
INDONESIA,INDONESIA,12928941.0,13414922.0,16527273.0,14774433.0,15138912.0,2.47
