No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,629.0,327.9,2043.81,354.0,334.0,-5.65
2,Sumatera Utara,1625.2,1223.4,7206.8,2237.0,551.0,-75.37
3,Sumatera Barat,270.8,319.7,386.5,251.0,138.0,-45.02
4,Riau,180.2,212.0,57.5,127.0,73.0,-42.52
5,Jambi,0.0,0.0,0.0,68.0,58.0,-14.71
6,Sumatera Selatan,0.0,0.0,0.0,146.0,190.0,30.14
7,Bengkulu,206.6,159.2,213.5,206.0,184.0,-10.68
8,Lampung,728.7,1251.8,817.0,443.0,230.0,-48.08
9,Kepulauan Bangka Belitung,0.0,0.0,0.3,0.0,0.0,
10,Kepulauan Riau,0.5,0.0,0.0,0.0,0.0,
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,8035.5,6385.5,5004.0,4688.0,3523.0,-24.85
13,Jawa Tengah,87458.4,114226.4,32395.9,79277.0,57189.0,-27.86
14,Daerah Istimewa Yogyakarta,563.6,556.1,497.8,495.0,149.0,-69.9
15,Jawa Timur,50797.7,53138.9,35997.3,49962.0,28721.0,-42.51
16,Banten,400.5,292.4,226.7,180.0,581.0,222.78
17,Bali,231.7,221.5,192.7,52.0,47.0,-9.62
18,Nusa Tenggara Barat,20041.9,23543.7,19626.9,14847.0,7045.0,-52.55
19,Nusa Tenggara Timur,10565.1,8970.8,9319.7,6377.0,7816.0,22.57
20,Kalimantan Barat,795.2,288.7,527.0,51.0,156.0,205.88
21,Kalimantan Tengah,22.4,31.97,23.0,17.0,9.0,-47.06
22,Kalimantan Selatan,323.5,147.0,83.9,37.0,80.0,116.22
23,Kalimantan Timur,138.5,148.3,28.1,17.0,64.0,276.47
24,Kalimantan Utara,15.2,69.5,1.3,9.0,4.0,-55.56
25,Sulawesi Utara,185.5,325.1,291.4,166.0,198.0,19.28
26,Sulawesi Tengah,481.0,360.0,224.4,282.0,155.0,-45.04
27,Sulawesi Selatan,13588.8,8866.3,3983.4,5099.0,4226.0,-17.12
28,Sulawesi Tenggara,804.4,296.0,215.1,314.0,313.0,-0.32
29,Gorontalo,9.0,19.5,14.3,9.0,11.0,22.22
30,Sulawesi Barat,0.0,0.0,0.0,245.0,310.0,26.53
31,Maluku,0.0,0.0,0.0,105.0,386.0,267.62
32,Maluku Utara,258.5,616.0,1469.0,27.0,333.0,1133.33
33,Papua Barat,0.0,0.0,0.0,0.0,0.0,
34,Papua Barat Daya,0.0,0.0,0.0,0.0,5.0,500.0
35,Papua,124.7,145.9,1495.8,0.0,25.0,2500.0
36,Papua Selatan,0.0,0.0,0.0,0.0,41.0,4100.0
37,Papua Tengah,0.0,0.0,0.0,0.0,4.0,400.0
38,Papua Pegunungan,0.0,0.0,0.0,0.0,0.0,
INDONESIA,INDONESIA,198482.1,222143.57,122343.11,0.0,113149.0,-31.87
