No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,3089.07,2738.89,2043.81,1835.0,1629.0,-11.23
2,Sumatera Utara,5773.18,4912.1,5875.3,7355.0,5613.0,-23.68
3,Sumatera Barat,3946.59,3498.74,3077.87,2915.0,3362.0,15.33
4,Riau,549.85,612.0,697.58,418.0,484.0,15.79
5,Jambi,1631.67,1617.17,3181.85,1460.0,1204.0,-17.53
6,Sumatera Selatan,0.0,0.0,0.0,1357.0,1266.0,-6.71
7,Bengkulu,1454.94,1508.62,1433.22,1638.0,1119.0,-31.68
8,Lampung,4142.52,3217.97,2382.73,1750.0,1409.0,-19.49
9,Kepulauan Bangka Belitung,183.2,230.35,244.82,222.0,190.0,-14.41
10,Kepulauan Riau,66.29,58.11,38.01,81.0,55.0,-32.1
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,41345.07,39379.54,42033.07,31544.0,27114.0,-14.04
13,Jawa Tengah,92021.87,69190.54,60954.0,58650.0,49651.0,-15.34
14,Daerah Istimewa Yogyakarta,66313.17,68748.32,64007.67,68905.0,44232.0,-35.81
15,Jawa Timur,129275.65,119517.79,119092.49,110331.0,93181.0,-15.54
16,Banten,4528.3,3804.86,4342.56,2403.0,2149.0,-10.57
17,Bali,5464.93,4978.91,5404.42,4429.0,4101.0,-7.41
18,Nusa Tenggara Barat,33581.86,40233.18,24605.51,26539.0,21256.0,-19.91
19,Nusa Tenggara Timur,9296.58,12476.01,11303.96,7681.0,5979.0,-22.16
20,Kalimantan Barat,885.67,676.16,602.42,400.0,621.0,55.25
21,Kalimantan Tengah,283.1,331.68,292.39,223.0,176.0,-21.08
22,Kalimantan Selatan,3512.27,3257.86,2278.69,2123.0,2340.0,10.22
23,Kalimantan Timur,867.03,812.09,544.56,392.0,718.0,83.16
24,Kalimantan Utara,103.96,124.32,73.82,76.0,49.0,-35.53
25,Sulawesi Utara,2199.33,2545.22,2314.48,1484.0,1942.0,30.86
26,Sulawesi Tengah,2201.24,2879.41,1805.09,1831.0,1759.0,-3.93
27,Sulawesi Selatan,16967.92,13028.95,12905.24,10515.0,13677.0,30.07
28,Sulawesi Tenggara,3433.41,3104.26,2401.82,1745.0,2476.0,41.89
29,Gorontalo,197.43,156.46,154.75,187.0,113.0,-39.57
30,Sulawesi Barat,0.0,0.0,0.0,274.0,324.0,18.25
31,Maluku,0.0,0.0,0.0,786.0,1463.0,86.13
32,Maluku Utara,1717.59,1445.9,1735.12,304.0,1203.0,295.72
33,Papua Barat,0.0,0.0,0.0,166.0,12.0,-92.77
34,Papua Barat Daya,0.0,0.0,0.0,0.0,91.0,9100.0
35,Papua,1195.85,466.0,1021.0,0.0,231.0,23100.0
36,Papua Selatan,0.0,0.0,0.0,0.0,351.0,35100.0
37,Papua Tengah,0.0,0.0,0.0,0.0,200.0,20000.0
38,Papua Pegunungan,0.0,0.0,0.0,0.0,0.0,
INDONESIA,INDONESIA,436229.52,405551.41,376848.26,0.0,291739.0,-16.65
