No,Provinsi,2020,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,774.05,882.1,1501.89,11604.0,7101.0,-38.81
2,Sumatera Utara,3302.21,1441.55,8026.28,15993.0,13760.0,-13.96
3,Sumatera Barat,48.05,7.15,17.23,23.0,0.0,-100.0
4,Riau,2600.22,540.73,495.19,364.0,219.0,-39.84
5,Jambi,8278.36,6503.75,4631.28,4512.0,866.0,-80.81
6,Sumatera Selatan,0.0,0.0,0.0,210.0,882.0,320.0
7,Bengkulu,15.8,6.46,3.21,999.0,908.0,-9.11
8,Lampung,2496.78,1922.91,2109.76,7412.0,5697.0,-23.14
9,Kepulauan Bangka Belitung,0.0,7.79,4.53,0.0,0.0,
10,Kepulauan Riau,0.0,0.36,0.32,5.0,1.0,-80.0
11,Daerah Khusus Ibukota Jakarta,0.0,0.0,0.0,0.0,0.0,
12,Jawa Barat,90513.98,23094.6,36011.52,38546.0,13154.0,-65.87
13,Jawa Tengah,43796.31,51769.33,62031.66,81315.0,70905.0,-12.8
14,Daerah Istimewa Yogyakarta,8160.3,8150.64,7282.08,10103.0,3587.0,-64.5
15,Jawa Timur,68385.5,73746.15,70759.07,100006.0,66857.0,-33.15
16,Banten,910.9,386.02,1849.25,8073.0,1591.0,-80.29
17,Bali,2339.08,2956.49,3249.74,5158.0,1605.0,-68.88
18,Nusa Tenggara Barat,32414.86,19412.12,8459.16,30494.0,10064.0,-67.0
19,Nusa Tenggara Timur,2068.9,2292.52,1013.66,2503.0,7127.0,184.74
20,Kalimantan Barat,70.94,251.67,78.47,109.0,28.0,-74.31
21,Kalimantan Tengah,150.23,31.97,14.83,181.0,34.0,-81.22
22,Kalimantan Selatan,2295.29,852.16,6161.8,3929.0,126.0,-96.79
23,Kalimantan Timur,94.67,114.52,62.1,31.0,18.0,-41.94
24,Kalimantan Utara,1.44,4.63,0.0,200.0,0.0,-100.0
25,Sulawesi Utara,20734.51,1922.91,2109.76,7729.0,8381.0,8.44
26,Sulawesi Tengah,3333.91,4229.68,10213.75,9317.0,6586.0,-29.31
27,Sulawesi Selatan,13588.8,8866.3,3983.4,4025.0,3643.0,-9.49
28,Sulawesi Tenggara,821.25,573.98,11052.87,3549.0,585.0,-83.52
29,Gorontalo,1145.93,577.18,1549.34,2412.0,5044.0,109.12
30,Sulawesi Barat,0.0,0.0,0.0,65.0,1110.0,1607.69
31,Maluku,0.0,0.0,0.0,135.0,222.0,64.44
32,Maluku Utara,65.86,22.09,103.56,8.0,58.0,625.0
33,Papua Barat,0.0,0.0,0.0,13.0,10.0,-23.08
34,Papua Barat Daya,0.0,0.0,0.0,0.0,25.0,2500.0
35,Papua,670.77,70.46,146.66,75.0,3.0,-96.0
36,Papua Selatan,0.0,0.0,0.0,0.0,5.0,500.0
37,Papua Tengah,0.0,0.0,0.0,0.0,7.0,700.0
38,Papua Pegunungan,0.0,0.0,0.0,0.0,2.0,200.0
INDONESIA,INDONESIA,309078.89,210638.22,242922.35,349099.0,230209.0,-34.06
