No,Provinsi,2021,2022,2023,2024,Pertumbuhan_2024_terhadap_2023_pct
1,Aceh,1634639.6,1509456.46,1404234.82,1659966.28,18.21
2,Sumatera Utara,2004142.51,2088583.81,2087474.15,2204875.51,5.62
3,Sumatera Barat,1317209.38,1373532.19,1482468.79,1356467.93,-8.5
4,Riau,217458.87,213557.23,205972.55,222055.71,7.81
5,Jambi,298149.25,277743.83,275941.45,281022.05,1.84
6,Sumatera Selatan,2552443.19,2775069.26,2832773.92,2909411.67,2.71
7,Bengkulu,271117.19,281610.09,286684.43,272848.55,-4.83
8,Lampung,2485452.78,2688159.74,2757898.19,2791347.53,1.21
9,Kepulauan Bangka Belitung,70496.25,61425.07,66468.89,77489.79,16.58
10,Kepulauan Riau,855.01,506.91,324.01,305.09,-5.84
11,Daerah Khusus Ibukota Jakarta,3249.47,2337.77,2674.28,2306.54,-13.75
12,Jawa Barat,9113574.0,9433723.0,9140039.0,8626879.91,-5.61
13,Jawa Tengah,9618656.81,9356445.49,9084107.53,8891297.05,-2.12
14,Daerah Istimewa Yogyakarta,556531.03,561699.53,534113.69,452831.77,-15.22
15,Jawa Timur,9789587.67,9526515.67,9710661.33,9270435.29,-4.53
16,Banten,1603247.0,1788582.6,1686483.29,1550623.46,-8.06
17,Bali,618910.81,680601.6,673580.65,635473.35,-5.66
18,Nusa Tenggara Barat,1419559.84,1452945.47,1538536.92,1453408.37,-5.53
19,Nusa Tenggara Timur,731877.74,756049.91,766810.46,707792.54,-7.7
20,Kalimantan Barat,711897.0,731226.0,700291.0,764784.15,9.21
21,Kalimantan Tengah,381189.55,343918.75,330781.05,366146.82,10.69
22,Kalimantan Selatan,1016314.0,819419.0,875545.73,1029567.93,17.59
23,Kalimantan Timur,244677.96,239425.34,226972.07,249643.19,9.99
24,Kalimantan Utara,29967.31,30533.59,23602.11,30079.77,27.45
25,Sulawesi Utara,232885.0,243730.0,238193.41,273134.94,14.67
26,Sulawesi Tengah,867012.77,744408.7,821367.41,761936.39,-7.24
27,Sulawesi Selatan,5090637.23,5360169.37,4876386.11,4818429.39,-1.19
28,Sulawesi Tenggara,530029.08,478958.03,479407.25,555836.08,15.94
29,Gorontalo,234392.86,240134.53,251431.76,234862.88,-6.59
30,Sulawesi Barat,311072.46,353513.29,291458.59,318876.59,9.41
31,Maluku,116803.67,92601.06,79958.34,91125.35,13.97
32,Maluku Utara,28052.0,24486.0,26663.0,31232.95,17.14
33,Papua Barat,26926.93,23963.92,22566.81,20729.15,-8.14
34,Papua Barat Daya,0.0,0.0,2397.0,988.64,-58.76
35,Papua,286279.8,193943.47,3760.45,4609.95,22.59
36,Papua Selatan,0.0,0.0,183628.0,217789.62,18.6
37,Papua Tengah,0.0,0.0,9273.0,6072.38,-34.52
38,Papua Pegunungan,0.0,0.0,62.0,42.38,-31.65
INDONESIA,INDONESIA,54415294.0,54748977.0,53980993.0,53142726.94,-1.55
